Timestamp,Market,Product,UnitOfMeasure,Currency,PriceLocal,PriceUSDMT,Period,Month,Year,IngestionTimestamp
2026-03-09,EEX,Milk,MT,EUR,464.1,551.98,2027-06-21,6,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,Milk,MT,EUR,464.1,552.64,2027-07-20,7,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,Milk,MT,EUR,464.1,553.29,2027-08-20,8,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,Milk,MT,EUR,464.1,553.94,2027-09-20,9,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,Milk,MT,EUR,464.1,554.59,2027-10-20,10,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,Milk,MT,EUR,415.9,486.83,2026-06-22,6,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,Milk,MT,EUR,421.0,493.47,2026-07-20,7,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,Milk,MT,EUR,429.3,503.89,2026-08-20,8,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,Milk,MT,EUR,438.5,515.4,2026-09-21,9,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,Milk,MT,EUR,447.0,526.11,2026-10-20,10,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,Milk,MT,EUR,453.1,534.02,2026-11-20,11,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,Milk,MT,EUR,458.2,540.77,2026-12-21,12,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,Milk,MT,EUR,462.8,546.9,2027-01-20,1,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,Milk,MT,EUR,454.4,537.67,2027-02-22,2,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,Milk,MT,EUR,461.5,546.78,2027-03-22,3,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,Milk,MT,EUR,463.3,549.62,2027-04-20,4,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,Milk,MT,EUR,464.2,551.39,2027-05-20,5,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,Milk,MT,EUR,386.3,449.83,2026-03-20,3,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,Milk,MT,EUR,402.5,469.51,2026-04-20,4,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,Milk,MT,EUR,408.7,477.57,2026-05-20,5,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,SWP Feed,MT,EUR,1375.0,1635.37,2027-06-30,6,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,SWP Feed,MT,EUR,1375.0,1637.31,2027-07-28,7,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,SWP Feed,MT,EUR,1375.0,1639.24,2027-08-25,8,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,SWP Feed,MT,EUR,1375.0,1641.17,2027-09-29,9,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,SWP Feed,MT,EUR,1375.0,1643.11,2027-10-27,10,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,SWP Feed,MT,EUR,1325.0,1550.96,2026-06-24,6,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,SWP Feed,MT,EUR,1350.0,1582.4,2026-07-29,7,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,SWP Feed,MT,EUR,1350.0,1584.57,2026-08-26,8,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,SWP Feed,MT,EUR,1350.0,1586.75,2026-09-30,9,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,SWP Feed,MT,EUR,1350.0,1588.92,2026-10-28,10,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,SWP Feed,MT,EUR,1350.0,1591.1,2026-11-25,11,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,SWP Feed,MT,EUR,1350.0,1593.27,2026-12-16,12,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,SWP Feed,MT,EUR,1375.0,1624.87,2027-01-27,1,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,SWP Feed,MT,EUR,1375.0,1626.97,2027-02-24,2,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,SWP Feed,MT,EUR,1375.0,1629.07,2027-03-31,3,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,SWP Feed,MT,EUR,1375.0,1631.17,2027-04-28,4,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,SWP Feed,MT,EUR,1375.0,1633.27,2027-05-26,5,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,SWP Feed,MT,EUR,1100.0,1280.91,2026-03-25,3,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,SWP Feed,MT,EUR,1250.0,1458.11,2026-04-29,4,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,SWP Feed,MT,EUR,1300.0,1519.07,2026-05-27,5,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,Butter,MT,EUR,5475.0,6511.75,2027-06-30,6,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,Butter,MT,EUR,5500.0,6549.22,2027-07-28,7,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,Butter,MT,EUR,5500.0,6556.96,2027-08-25,8,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,Butter,MT,EUR,5500.0,6564.69,2027-09-29,9,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,Butter,MT,EUR,5500.0,6572.43,2027-10-27,10,2027,2026-08-24 16:50:20.491893
2026-03-09,EEX,Butter,MT,EUR,5025.0,5881.95,2026-06-24,6,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,Butter,MT,EUR,5063.0,5934.59,2026-07-29,7,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,Butter,MT,EUR,5138.0,6030.77,2026-08-26,8,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,Butter,MT,EUR,5200.0,6111.92,2026-09-30,9,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,Butter,MT,EUR,5225.0,6149.72,2026-10-28,10,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,Butter,MT,EUR,5225.0,6158.13,2026-11-25,11,2026,2026-08-24 16:50:20.491893
2026-03-09,EEX,Butter,MT,EUR,5250.0,6196.05,2026-12-16,12,2026,2026-08-24 16:50:20.491893
